id1,id2,keyword,num
60025278,60098464,algorithms,49
60098464,60025278,algorithms,49
60025278,60098464,experimentation,46
60098464,60025278,experimentation,46
60021726,60026532,algorithms,36
60026532,60021726,algorithms,36
60025278,60098464,performance,35
60098464,60025278,performance,35
60098464,60008592,algorithms,34
60008592,60098464,algorithms,34
60019118,60098464,algorithms,33
60098464,60019118,algorithms,33
60014966,60098464,algorithms,32
60098464,60014966,algorithms,32
60017366,60021293,design,30
60021293,60017366,design,30
60019118,60098464,experimentation,29
60098464,60019118,experimentation,29
60014966,60098464,experimentation,28
60098464,60014966,experimentation,28
60017366,60021293,performance,24
60021293,60017366,performance,24
60026532,60021726,experimentation,24
60021726,60026532,experimentation,24
60017366,60021293,algorithms,22
60021293,60017366,algorithms,22
60098464,60008592,experimentation,21
60008592,60098464,experimentation,21
60021726,60012708,algorithms,20
60012708,60021726,algorithms,20
60020273,60027561,experimentation,20
60027561,60020273,experimentation,20
60020273,60027561,algorithms,19
60027561,60020273,algorithms,19
60098464,60026532,algorithms,17
60026532,60098464,algorithms,17
60021726,60026532,performance,17
60026532,60021726,performance,17
60025084,60098464,algorithms,17
60098464,60025084,algorithms,17
60020273,60027561,performance,16
60027561,60020273,performance,16
60017366,60000745,algorithms,16
60000745,60017366,algorithms,16
60025278,60098464,design,16
60098464,60025278,design,16
60021726,60026532,search process,16
60026532,60021726,search process,16
60021726,60012708,experimentation,16
60012708,60021726,experimentation,16
60020273,60027561,design,15
60027561,60020273,design,15
60025278,60098464,theory,15
60098464,60025278,theory,15
60000745,60021726,algorithms,15
60021726,60000745,algorithms,15
60017366,60021293,experimentation,15
60021293,60017366,experimentation,15
60021293,60009253,algorithms,15
60009253,60021293,algorithms,15
60098464,60008592,performance,15
60008592,60098464,performance,15
60025084,60098464,experimentation,15
60098464,60025084,experimentation,15
60098464,60003970,algorithms,15
60003970,60098464,algorithms,15
60025272,60025997,design,15
60025997,60025272,design,15
60025038,60028873,design,15
60025038,60028873,performance,15
60028873,60025038,design,15
60028873,60025038,performance,15
60098464,60026532,experimentation,14
60026532,60098464,experimentation,14
60021726,60026532,design,14
60026532,60021726,design,14
60027950,60075274,algorithms,14
60075274,60027950,algorithms,14
60098464,60018038,algorithms,14
60018038,60098464,algorithms,14
60015424,60021726,algorithms,14
60021726,60015424,algorithms,14
60003269,60018008,performance,14
60018008,60003269,performance,14
60021726,60026532,measurement,13
60026532,60021726,measurement,13
60027950,60075274,experimentation,13
60075274,60027950,experimentation,13
60025084,60008592,algorithms,13
60008592,60025084,algorithms,13
60025278,60098464,information search and retrieval,13
60098464,60025278,information search and retrieval,13
60027950,60021726,algorithms,13
60021726,60027950,algorithms,13
60015481,60021726,algorithms,13
60021726,60015481,algorithms,13
60011362,60026553,performance,13
60026553,60011362,performance,13
60019118,60098464,performance,13
60098464,60019118,performance,13
60026553,60011362,experimentation,13
60011362,60026553,experimentation,13
60017366,60021293,measurement,13
60021293,60017366,measurement,13
60098464,60003970,design,13
60003970,60098464,design,13
60014966,60098464,performance,12
60098464,60014966,performance,12
